model,code,crm,docs,integrate,marketing,reason,final 🏆,Cost,Speed
Google Gemini Pro 1.0 ☁️,66.0,86.0,85.0,60.0,88.0,26.0,68.0,0.09 €,1.36 rps
GPT-3.5 v3/1106 ☁️,68.0,70.0,71.0,63.0,78.0,59.0,68.0,0.24 €,2.33 rps
GPT-3.5 v4/0125 ☁️,63.0,87.0,72.0,60.0,78.0,47.0,68.0,0.12 €,1.43 rps
Google Gemini 1.5 Flash 0514 ☁️,32.0,97.0,100.0,56.0,72.0,41.0,66.0,0.09 €,1.77 rps
Cohere Command R+ ☁️,63.0,80.0,76.0,49.0,70.0,59.0,66.0,0.83 €,1.90 rps
Qwen1.5 32B Chat f16 ⚠️,70.0,90.0,82.0,56.0,78.0,15.0,65.0,0.97 €,1.66 rps
GPT-3.5-instruct 0914 ☁️,47.0,92.0,71.0,60.0,88.0,32.0,65.0,0.35 €,2.15 rps
Mistral Nemo 12B v1/2407 ☁️,54.0,58.0,52.0,97.0,75.0,50.0,65.0,0.07 €,1.22 rps
Mistral 7B OpenChat-3.5 v3 0106 f16 ✅,68.0,87.0,69.0,52.0,88.0,23.0,64.0,0.32 €,3.39 rps
Meta Llama 3 8B Instruct f16🦙,79.0,62.0,71.0,49.0,80.0,42.0,64.0,0.32 €,3.33 rps
GPT-3.5 v1/0301 ☁️,55.0,82.0,71.0,67.0,82.0,24.0,63.0,0.35 €,4.12 rps
Gemma 7B OpenChat-3.5 v3 0106 f16 ✅,63.0,67.0,86.0,33.0,81.0,48.0,63.0,0.21 €,5.09 rps
Llama 3 8B OpenChat-3.6 20240522 f16 ✅,76.0,51.0,76.0,45.0,88.0,39.0,62.0,0.28 €,3.79 rps
Mistral 7B OpenChat-3.5 v1 f16 ✅,58.0,72.0,72.0,49.0,88.0,31.0,62.0,0.49 €,2.20 rps
Mistral 7B OpenChat-3.5 v2 1210 f16 ✅,63.0,73.0,72.0,45.0,88.0,28.0,61.0,0.32 €,3.40 rps
Starling 7B-alpha f16 ⚠️,58.0,66.0,68.0,52.0,88.0,36.0,61.0,0.58 €,1.85 rps
Claude 3 Haiku ☁️,64.0,69.0,66.0,55.0,75.0,33.0,60.0,0.08 €,0.52 rps
Yi 1.5 34B Chat f16 ⚠️,47.0,78.0,70.0,52.0,86.0,28.0,60.0,1.18 €,1.37 rps
Mixtral 8x22B API (Instruct) ☁️,53.0,62.0,66.0,94.0,75.0,7.0,60.0,0.17 €,3.12 rps
Codestral Mamba 7B v1 ✅,53.0,66.0,54.0,94.0,71.0,17.0,59.0,0.30 €,2.82 rps
Meta Llama 3.1 8B Instruct f16🦙,57.0,74.0,64.0,52.0,74.0,34.0,59.0,0.45 €,2.41 rps
Meta Llama 3.1 70B Instruct b8🦙,60.0,76.0,75.0,30.0,81.0,26.0,58.0,5.28 €,0.31 rps
Claude 3 Sonnet ☁️,72.0,41.0,74.0,52.0,78.0,30.0,58.0,0.95 €,0.85 rps
Mistral Large v1/2402 ☁️,37.0,49.0,75.0,75.0,84.0,25.0,58.0,2.14 €,2.11 rps
Qwen2 7B Instruct f32 ⚠️,50.0,81.0,81.0,39.0,66.0,29.0,58.0,0.46 €,2.36 rps
Anthropic Claude Instant v1.2 ☁️,58.0,75.0,66.0,59.0,65.0,14.0,56.0,2.10 €,1.49 rps
Anthropic Claude v2.0 ☁️,63.0,52.0,55.0,45.0,84.0,35.0,55.0,2.19 €,0.40 rps
Cohere Command R ☁️,45.0,66.0,57.0,55.0,84.0,26.0,55.0,0.13 €,2.50 rps
Qwen1.5 7B Chat f16 ⚠️,56.0,81.0,60.0,34.0,60.0,36.0,55.0,0.29 €,3.76 rps
Mistral 7B OpenOrca f16 ☁️,54.0,57.0,80.0,21.0,78.0,26.0,53.0,0.41 €,2.65 rps
Anthropic Claude v2.1 ☁️,29.0,58.0,59.0,60.0,75.0,33.0,52.0,2.25 €,0.35 rps
Qwen1.5 14B Chat f16 ⚠️,50.0,58.0,53.0,49.0,84.0,17.0,52.0,0.36 €,3.03 rps
Mistral 7B Instruct v0.1 f16 ☁️,34.0,71.0,74.0,44.0,62.0,21.0,51.0,0.75 €,1.43 rps
Meta Llama 3 70B Instruct b8🦙,51.0,72.0,53.0,29.0,82.0,18.0,51.0,6.97 €,0.23 rps
Llama2 13B Vicuna-1.5 f16🦙,50.0,37.0,59.0,39.0,82.0,38.0,51.0,0.99 €,1.09 rps
Codestral 22B v1 ✅,38.0,47.0,55.0,71.0,66.0,13.0,48.0,0.30 €,4.03 rps
Llama2 13B Hermes f16🦙,50.0,24.0,51.0,61.0,60.0,43.0,48.0,1.00 €,1.07 rps
Google Recurrent Gemma 9B IT f16 ⚠️,58.0,27.0,75.0,45.0,56.0,25.0,48.0,0.89 €,1.21 rps
Mistral Small v2/2402 ☁️,33.0,42.0,57.0,82.0,56.0,8.0,46.0,0.18 €,3.21 rps
Llama2 13B Hermes b8🦙,41.0,25.0,49.0,61.0,60.0,43.0,46.0,4.79 €,0.22 rps
Mistral Medium v1/2312 ☁️,41.0,43.0,54.0,59.0,62.0,12.0,45.0,0.81 €,0.35 rps
Mistral Small v1/2312 (Mixtral) ☁️,10.0,67.0,76.0,51.0,56.0,8.0,45.0,0.19 €,2.21 rps
IBM Granite 34B Code Instruct f16 ☁️,63.0,49.0,40.0,44.0,57.0,5.0,43.0,1.07 €,1.51 rps
Mistral Tiny v1/2312 (7B Instruct v0.2) ☁️,22.0,47.0,66.0,40.0,62.0,8.0,41.0,0.05 €,2.39 rps
Llama2 13B Puffin f16🦙,37.0,15.0,48.0,48.0,56.0,41.0,41.0,4.70 €,0.23 rps
Llama2 13B Puffin b8🦙,37.0,14.0,47.0,46.0,56.0,39.0,40.0,8.34 €,0.13 rps
Meta Llama2 13B chat f16🦙,22.0,38.0,17.0,45.0,75.0,8.0,34.0,0.75 €,1.44 rps
Mistral 7B Zephyr-β f16 ✅,37.0,34.0,55.0,44.0,29.0,4.0,34.0,0.46 €,2.34 rps
Meta Llama2 13B chat b8🦙,22.0,38.0,15.0,45.0,75.0,6.0,33.0,3.27 €,0.33 rps
Mistral 7B Notus-v1 f16 ⚠️,10.0,54.0,41.0,41.0,48.0,4.0,33.0,0.75 €,1.43 rps
Orca 2 13B f16 ⚠️,18.0,22.0,45.0,22.0,67.0,19.0,32.0,0.95 €,1.14 rps
Meta Llama2 7B chat f16🦙,22.0,33.0,20.0,42.0,50.0,20.0,31.0,0.56 €,1.93 rps
Mistral 7B Instruct v0.2 f16 ☁️,11.0,30.0,65.0,13.0,58.0,8.0,31.0,0.96 €,1.12 rps
Mistral 7B v0.1 f16 ☁️,0.0,9.0,56.0,42.0,52.0,12.0,29.0,0.87 €,1.23 rps
Microsoft Phi 3 Medium 4K Instruct f16 ⚠️,5.0,34.0,52.0,13.0,47.0,8.0,26.0,0.82 €,1.32 rps
Google Gemma 2B IT f16 ⚠️,33.0,28.0,18.0,39.0,15.0,20.0,25.0,0.30 €,3.54 rps
Orca 2 7B f16 ⚠️,22.0,0.0,31.0,18.0,52.0,4.0,21.0,0.78 €,1.38 rps
Google Gemma 7B IT f16 ⚠️,0.0,0.0,0.0,9.0,62.0,0.0,12.0,0.99 €,1.08 rps
Meta Llama2 7B f16🦙,0.0,5.0,28.0,3.0,28.0,2.0,11.0,0.95 €,1.13 rps
Yi 1.5 9B Chat f16 ⚠️,0.0,4.0,32.0,8.0,0.0,8.0,9.0,1.41 €,0.76 rps
Google Gemma 2 9B IT f16 🔄,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Google Gemma 2 27B IT f16 🔄,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
